club_key,grade_key,display_name,squad_number,playhq_id
norwood-netball-club,amnd-winter-2000-primary-2,Newton Jaguars,,archive:amnd-winter-2000:primary-2:norwood-netball-club:none
adelaide-cougars,amnd-winter-2000-primary-3,Adelaide Cougars,,archive:amnd-winter-2000:primary-3:adelaide-cougars:none
oakdale-netball-club-sa,amnd-winter-2000-primary-3,Oakdale,,archive:amnd-winter-2000:primary-3:oakdale-netball-club-sa:none
contax,amnd-winter-2000-primary-3,Contax,,archive:amnd-winter-2000:primary-3:contax:none
woods-panthers,amnd-winter-2000-primary-3,Woods Panthers,,archive:amnd-winter-2000:primary-3:woods-panthers:none
norwood-netball-club,amnd-winter-2000-primary-3,Newton Jaguars,,archive:amnd-winter-2000:primary-3:norwood-netball-club:none
tango-netball-club-inc,amnd-winter-2000-primary-3,Tango,,archive:amnd-winter-2000:primary-3:tango-netball-club-inc:none
garville,amnd-winter-2000-primary-3,Garville,,archive:amnd-winter-2000:primary-3:garville:none
matrics,amnd-winter-2000-primary-3,Matrics,,archive:amnd-winter-2000:primary-3:matrics:none
adelaide-cougars,amnd-winter-2000-primary-4,Adelaide Cougars,,archive:amnd-winter-2000:primary-4:adelaide-cougars:none
contax,amnd-winter-2000-primary-4,Contax,,archive:amnd-winter-2000:primary-4:contax:none
woods-panthers,amnd-winter-2000-primary-4,Woods Panthers,1,archive:amnd-winter-2000:primary-4:woods-panthers:1
norwood-netball-club,amnd-winter-2000-primary-4,Newton Jaguars,,archive:amnd-winter-2000:primary-4:norwood-netball-club:none
oakdale-netball-club-sa,amnd-winter-2000-primary-4,Oakdale,,archive:amnd-winter-2000:primary-4:oakdale-netball-club-sa:none
woods-panthers,amnd-winter-2000-primary-4,Woods Panthers,2,archive:amnd-winter-2000:primary-4:woods-panthers:2
cheerio-netball-club,amnd-winter-2000-primary-4,Cheerio,,archive:amnd-winter-2000:primary-4:cheerio-netball-club:none
garville,amnd-winter-2000-primary-4,Garville,,archive:amnd-winter-2000:primary-4:garville:none
harlequin,amnd-winter-2000-sub-junior-1,Harlequin,,archive:amnd-winter-2000:sub-junior-1:harlequin:none
matrics,amnd-winter-2000-sub-junior-1,Matrics,,archive:amnd-winter-2000:sub-junior-1:matrics:none
tango-netball-club-inc,amnd-winter-2000-sub-junior-1,Tango,,archive:amnd-winter-2000:sub-junior-1:tango-netball-club-inc:none
adelaide-cougars,amnd-winter-2000-sub-junior-1,Adelaide Cougars,,archive:amnd-winter-2000:sub-junior-1:adelaide-cougars:none
garville,amnd-winter-2000-sub-junior-1,Garville,,archive:amnd-winter-2000:sub-junior-1:garville:none
woods-panthers,amnd-winter-2000-sub-junior-1,Woods Panthers,,archive:amnd-winter-2000:sub-junior-1:woods-panthers:none
contax,amnd-winter-2000-sub-junior-1,Contax,,archive:amnd-winter-2000:sub-junior-1:contax:none
oakdale-netball-club-sa,amnd-winter-2000-sub-junior-1,Oakdale,,archive:amnd-winter-2000:sub-junior-1:oakdale-netball-club-sa:none
garville,amnd-winter-2000-sub-junior-2,Garville,,archive:amnd-winter-2000:sub-junior-2:garville:none
matrics,amnd-winter-2000-sub-junior-2,Matrics,,archive:amnd-winter-2000:sub-junior-2:matrics:none
norwood-netball-club,amnd-winter-2000-sub-junior-2,Newton Jaguars,,archive:amnd-winter-2000:sub-junior-2:norwood-netball-club:none
contax,amnd-winter-2000-sub-junior-2,Contax,,archive:amnd-winter-2000:sub-junior-2:contax:none
cheerio-netball-club,amnd-winter-2000-sub-junior-2,Cheerio,,archive:amnd-winter-2000:sub-junior-2:cheerio-netball-club:none
adelaide-cougars,amnd-winter-2000-sub-junior-2,Adelaide Cougars,,archive:amnd-winter-2000:sub-junior-2:adelaide-cougars:none
woods-panthers,amnd-winter-2000-sub-junior-2,Woods Panthers,,archive:amnd-winter-2000:sub-junior-2:woods-panthers:none
tango-netball-club-inc,amnd-winter-2000-sub-junior-2,Tango,,archive:amnd-winter-2000:sub-junior-2:tango-netball-club-inc:none
harlequin,amnd-winter-2000-sub-junior-3,Harlequin,1,archive:amnd-winter-2000:sub-junior-3:harlequin:1
norwood-netball-club,amnd-winter-2000-sub-junior-3,Newton Jaguars,,archive:amnd-winter-2000:sub-junior-3:norwood-netball-club:none
contax,amnd-winter-2000-sub-junior-3,Contax,,archive:amnd-winter-2000:sub-junior-3:contax:none
garville,amnd-winter-2000-sub-junior-3,Garville,,archive:amnd-winter-2000:sub-junior-3:garville:none
matrics,amnd-winter-2000-sub-junior-3,Matrics,,archive:amnd-winter-2000:sub-junior-3:matrics:none
harlequin,amnd-winter-2000-sub-junior-3,Harlequin,2,archive:amnd-winter-2000:sub-junior-3:harlequin:2
cheerio-netball-club,amnd-winter-2000-sub-junior-3,Cheerio,,archive:amnd-winter-2000:sub-junior-3:cheerio-netball-club:none
woods-panthers,amnd-winter-2000-sub-junior-3,Woods Panthers,,archive:amnd-winter-2000:sub-junior-3:woods-panthers:none
